P56: 0  (0,2.2787),(-2.0000,-1.0500,0.3000),(-0.4100,0.8700,0.2800)
P57: 0  (0,0.8421),(-0.0000,-0.2628,0.8000),(-0.4015,0.8712,0.2875)
P58: 0  (0,2.2762),(2.0000,1.0445,-0.3000),(-0.4055,0.8673,0.3000)
P59: 0  (0,2.2644),(2.0000,1.0214,-0.2900),(-0.4020,0.8573,0.3101)
P60: 0  (0,2.2731),(2.0000,1.0406,-0.2900),(-0.3912,0.8611,0.3197)
P61: 0  (0,2.2665),(2.0000,1.0261,-0.2900),(-0.3951,0.8597,0.3311)
P62: 0  (0,2.2678),(2.0000,1.0290,-0.2900),(-0.3939,0.8472,0.3372)
P63: 0  (0,2.2715),(2.0000,1.0399,-0.2800),(-0.3848,0.8512,0.3569)
P64: 0  (0,2.2584),(2.0000,1.0136,-0.2700),(-0.3846,0.8470,0.3712)
P65: 0  (0,2.2681),(2.0000,1.0351,-0.2700),(-0.3846,0.8370,0.3771)
P66: 0  (0,2.2608),(2.0000,1.0189,-0.2700),(-0.3745,0.8397,0.3867)
P67: 0  (0,2.2694),(2.0000,1.0404,-0.2600),(-0.3745,0.8375,0.4072)
P68: 0  (0,2.2600),(2.0000,1.0197,-0.2600),(-0.3744,0.8297,0.4189)
P69: 0  (0,2.2626),(2.0000,1.0280,-0.2500),(-0.3723,0.8276,0.4313)
P70: 0  (0,2.2595),(2.0000,1.0213,-0.2500),(-0.3643,0.8196,0.4367)
P71: 0  (0,2.2597),(2.0000,1.0240,-0.2400),(-0.3643,0.8177,0.4467)
P72: 0  (0,2.2570),(2.0000,1.0203,-0.2300),(-0.3641,0.8101,0.4690)
P73: 0  (0,2.2626),(2.0000,1.0326,-0.2300),(-0.3542,0.7971,0.4791)
P74: 0  (0,2.2528),(2.0000,1.0132,-0.2200),(-0.3542,0.8000,0.4891)
P75: 0  (0,2.2619),(2.0000,1.0332,-0.2200),(-0.3542,0.7912,0.4990)
P76: 0  (0,2.2475),(2.0000,1.0056,-0.2000),(-0.3540,0.7900,0.5087)
P77: 0  (0,2.2610),(2.0000,1.0334,-0.2100),(-0.3441,0.7800,0.5146)
P78: 0  (0,2.2512),(2.0000,1.0157,-0.1900),(-0.3441,0.7800,0.5247)
P79: 0  (0,2.2543),(2.0000,1.0227,-0.1900),(-0.3441,0.7700,0.5347)
P80: 0  (0,2.2510),(2.0000,1.0171,-0.1800),(-0.3441,0.7600,0.5487)
P81: 0  (0,2.2477),(2.0000,1.0116,-0.1700),(-0.3428,0.7600,0.5597)
P82: 0  (0,2.2538),(2.0000,1.0267,-0.1600),(-0.3416,0.7500,0.5697)
P83: 0  (0,2.2515),(2.0000,1.0215,-0.1600),(-0.3306,0.7499,0.5797)
P84: 0  (0,2.2447),(2.0000,1.0096,-0.1400),(-0.3306,0.7400,0.5775)
