P1623: 0  (0,2.1815),(-2.0000,-0.8215,0.2900),(-0.3400,0.9100,0.2200)
P1624: 0  (0,2.1819),(-2.0000,-0.8189,0.3000),(-0.3400,0.9100,0.2201)
P1625: 0  (0,0.8232),(-0.0000,-0.1940,0.8000),(-0.3400,0.9100,0.2199)
P1626: 0  (0,2.1829),(2.0000,0.8217,-0.3000),(-0.3400,0.9100,0.2199)
P1627: 0  (0,2.1804),(2.0000,0.8186,-0.2900),(-0.3400,0.9100,0.2200)
P1628: 0  (0,2.1794),(2.0000,0.8158,-0.2900),(-0.3400,0.9100,0.2200)
P1629: 0  (0,2.1787),(2.0000,0.8139,-0.2900),(-0.3400,0.9100,0.2200)
P1630: 0  (0,2.1792),(2.0000,0.8154,-0.2900),(-0.3400,0.9100,0.2200)
P1631: 0  (0,2.1769),(2.0000,0.8126,-0.2800),(-0.3400,0.9100,0.2200)
P1632: 0  (0,2.1743),(2.0000,0.8091,-0.2700),(-0.3400,0.9100,0.2200)
P1633: 0  (0,2.1736),(2.0000,0.8071,-0.2700),(-0.3400,0.9100,0.2200)
P1634: 0  (0,2.1748),(2.0000,0.8105,-0.2700),(-0.3400,0.9100,0.2200)
P1635: 0  (0,2.1736),(2.0000,0.8106,-0.2600),(-0.3400,0.9100,0.2200)
P1636: 0  (0,2.1747),(2.0000,0.8136,-0.2600),(-0.3400,0.9100,0.2200)
P1637: 0  (0,2.1702),(2.0000,0.8046,-0.2500),(-0.3400,0.9100,0.2200)
P1638: 0  (0,2.1686),(2.0000,0.8003,-0.2500),(-0.3400,0.9100,0.2200)
P1639: 0  (0,2.1705),(2.0000,0.8084,-0.2400),(-0.3400,0.9100,0.2200)
P1640: 0  (0,2.1667),(2.0000,0.8011,-0.2300),(-0.3400,0.9100,0.2200)
P1641: 0  (0,2.1655),(2.0000,0.7977,-0.2300),(-0.3400,0.9100,0.2200)
P1642: 0  (0,2.1656),(2.0000,0.8010,-0.2200),(-0.3400,0.9100,0.2200)
P1643: 0  (0,2.1639),(2.0000,0.7964,-0.2200),(-0.3400,0.9100,0.2200)
P1644: 0  (0,2.1584),(2.0000,0.7866,-0.2000),(-0.3400,0.9100,0.2200)
P1645: 0  (0,2.1624),(2.0000,0.7950,-0.2100),(-0.3400,0.9100,0.2200)
P1646: 0  (0,2.1608),(2.0000,0.7957,-0.1900),(-0.3400,0.9100,0.2200)
P1647: 0  (0,2.1586),(2.0000,0.7895,-0.1900),(-0.3400,0.9100,0.2200)
P1648: 0  (0,2.1553),(2.0000,0.7830,-0.1800),(-0.3400,0.9100,0.2200)
P1649: 0  (0,2.1572),(2.0000,0.7904,-0.1700),(-0.3400,0.9100,0.2200)
P1650: 0  (0,2.1515),(2.0000,0.7766,-0.1600),(-0.3400,0.9100,0.2200)
P1651: 0  (0,2.1559),(2.0000,0.7888,-0.1600),(-0.3400,0.9100,0.2200)
P1652: 0  (0,2.1508),(2.0000,0.7786,-0.1400),(-0.3400,0.9100,0.2200)
P1653: 0  (0,2.1488),(2.0000,0.7731,-0.1400),(-0.3400,0.9100,0.2200)
P1654: 0  (0,2.1500),(2.0000,0.7781,-0.1300),(-0.3400,0.9100,0.2200)
P1655: 0  (0,2.1485),(2.0000,0.7757,-0.1200),(-0.3400,0.9100,0.2200)
P1656: 0  (0,2.1433),(2.0000,0.7627,-0.1100),(-0.3400,0.9100,0.2200)
P1657: 0  (0,2.1468),(2.0000,0.7739,-0.1000),(-0.3400,0.9100,0.2200)
P1658: 0  (0,2.1430),(2.0000,0.7645,-0.0900),(-0.3400,0.9100,0.2200)
P1659: 0  (0,2.1403),(2.0000,0.7580,-0.0800),(-0.3400,0.9100,0.2200)
P1660: 0  (0,2.1420),(2.0000,0.7638,-0.0700),(-0.3400,0.9100,0.2200)
P1661: 0  (0,2.1381),(2.0000,0.7535,-0.0600),(-0.3400,0.9100,0.2200)
P1662: 0  (0,2.1376),(2.0000,0.7528,-0.0500),(-0.3400,0.9100,0.2200)
P1663: 0  (0,2.1380),(2.0000,0.7547,-0.0400),(-0.3400,0.9100,0.2200)
P1664: 0  (0,2.1363),(2.0000,0.7507,-0.0200),(-0.3400,0.9100,0.2200)
P1665: 0  (0,2.1361),(2.0000,0.7500,-0.0200),(-0.3400,0.9100,0.2200)
P1666: 0  (0,2.1317),(2.0000,0.7377,0.0000),(-0.3400,0.9100,0.2200)
P1667: 0  (0,2.1320),(2.0000,0.7383,0.0100),(-0.3400,0.9100,0.2200)
P1668: 0  (0,2.1329),(2.0000,0.7410,0.0200),(-0.3400,0.9100,0.2200)
P1669: 0  (0,2.1322),(2.0000,0.7381,0.0400),(-0.3400,0.9100,0.2200)
P1670: 0  (0,2.1278),(2.0000,0.7245,0.0500),(-0.3400,0.9100,0.2200)
P1671: 0  (0,2.1290),(2.0000,0.7274,0.0600),(-0.3400,0.9100,0.2200)
P1672: 0  (0,2.1293),(2.0000,0.7274,0.0700),(-0.3400,0.9100,0.2200)
P1673: 0  (0,2.1272),(2.0000,0.7189,0.0900),(-0.3400,0.9100,0.2200)
P1674: 0  (0,2.1278),(2.0000,0.7195,0.1000),(-0.3400,0.9100,0.2200)
P1675: 0  (0,2.1290),(2.0000,0.7216,0.1100),(-0.3400,0.9100,0.2200)
P1676: 0  (0,2.1245),(2.0000,0.7046,0.1300),(-0.3400,0.9100,0.2200)
P1677: 0  (0,2.1258),(2.0000,0.7066,0.1400),(-0.3400,0.9100,0.2200)
P1678: 0  (0,2.1280),(2.0000,0.7091,0.1600),(-0.3400,0.9100,0.2200)
P1679: 0  (0,2.1265),(2.0000,0.7023,0.1700),(-0.3400,0.9100,0.2200)
P1680: 0  (0,2.1261),(2.0000,0.6957,0.1900),(-0.3400,0.9100,0.2200)
P1681: 0  (0,0.8239),(-0.0000,-0.1969,0.8000),(-0.3400,0.9100,0.2200)
P1682: 0  (0,2.1259),(-2.0000,-0.6954,-0.1900),(-0.3400,0.9100,0.2200)
P1683: 0  (0,2.1253),(-2.0000,-0.6984,-0.1700),(-0.3400,0.9100,0.2200)
P1684: 0  (0,2.1276),(-2.0000,-0.7080,-0.1600),(-0.3400,0.9100,0.2200)
P1685: 0  (0,2.1247),(-2.0000,-0.7034,-0.1400),(-0.3400,0.9100,0.2200)
P1686: 0  (0,2.1256),(-2.0000,-0.7081,-0.1300),(-0.3400,0.9100,0.2200)
P1687: 0  (0,2.1298),(-2.0000,-0.7239,-0.1100),(-0.3400,0.9100,0.2200)
P1688: 0  (0,2.1279),(-2.0000,-0.7195,-0.1000),(-0.3400,0.9100,0.2200)
P1689: 0  (0,2.1260),(-2.0000,-0.7155,-0.0900),(-0.3400,0.9100,0.2200)
P1690: 0  (0,2.1302),(-2.0000,-0.7299,-0.0700),(-0.3400,0.9100,0.2200)
P1691: 0  (0,2.1290),(-2.0000,-0.7274,-0.0600),(-0.3400,0.9100,0.2200)
P1692: 0  (0,2.1281),(-2.0000,-0.7256,-0.0500),(-0.3400,0.9100,0.2200)
P1693: 0  (0,2.1323),(-2.0000,-0.7383,-0.0400),(-0.3400,0.9100,0.2200)
P1694: 0  (0,2.1307),(-2.0000,-0.7345,-0.0200),(-0.3400,0.9100,0.2200)
P1695: 0  (0,2.1349),(-2.0000,-0.7468,-0.0100),(-0.3400,0.9100,0.2200)
P1696: 0  (0,2.1323),(-2.0000,-0.7393,0.0000),(-0.3400,0.9100,0.2200)
P1697: 0  (0,2.1336),(-2.0000,-0.7429,0.0200),(-0.3400,0.9100,0.2200)
P1698: 0  (0,2.1371),(-2.0000,-0.7527,0.0200),(-0.3400,0.9100,0.2200)
P1699: 0  (0,2.1379),(-2.0000,-0.7542,0.0400),(-0.3400,0.9100,0.2200)
P1700: 0  (0,2.1381),(-2.0000,-0.7542,0.0500),(-0.3400,0.9100,0.2200)
P1701: 0  (0,2.1384),(-2.0000,-0.7545,0.0600),(-0.3400,0.9100,0.2200)
P1702: 0  (0,2.1423),(-2.0000,-0.7646,0.0700),(-0.3400,0.9100,0.2200)
P1703: 0  (0,2.1391),(-2.0000,-0.7546,0.0800),(-0.3400,0.9100,0.2200)
P1704: 0  (0,2.1431),(-2.0000,-0.7647,0.0900),(-0.3400,0.9100,0.2200)
P1705: 0  (0,2.1470),(-2.0000,-0.7742,0.1000),(-0.3400,0.9100,0.2200)
P1706: 0  (0,2.1441),(-2.0000,-0.7648,0.1100),(-0.3400,0.9100,0.2200)
P1707: 0  (0,2.1470),(-2.0000,-0.7715,0.1200),(-0.3400,0.9100,0.2200)
P1708: 0  (0,2.1513),(-2.0000,-0.7818,0.1300),(-0.3400,0.9100,0.2200)
P1709: 0  (0,2.1494),(-2.0000,-0.7747,0.1400),(-0.3400,0.9100,0.2200)
P1710: 0  (0,2.1493),(-2.0000,-0.7746,0.1400),(-0.3400,0.9100,0.2200)
P1711: 0  (0,2.1565),(-2.0000,-0.7904,0.1600),(-0.3400,0.9100,0.2200)
P1712: 0  (0,2.1507),(-2.0000,-0.7745,0.1600),(-0.3400,0.9100,0.2200)
P1713: 0  (0,2.1576),(-2.0000,-0.7913,0.1700),(-0.3400,0.9100,0.2200)
P1714: 0  (0,2.1563),(-2.0000,-0.7855,0.1800),(-0.3400,0.9100,0.2200)
P1715: 0  (0,2.1590),(-2.0000,-0.7908,0.1900),(-0.3400,0.9100,0.2200)
P1716: 0  (0,2.1594),(-2.0000,-0.7918,0.1900),(-0.3400,0.9100,0.2200)
P1717: 0  (0,2.1628),(-2.0000,-0.7960,0.2100),(-0.3400,0.9100,0.2200)
P1718: 0  (0,2.1590),(-2.0000,-0.7883,0.2000),(-0.3400,0.9100,0.2200)
P1719: 0  (0,2.1637),(-2.0000,-0.7956,0.2200),(-0.3400,0.9100,0.2200)
P1720: 0  (0,2.1665),(-2.0000,-0.8034,0.2200),(-0.3400,0.9100,0.2200)
P1721: 0  (0,2.1647),(-2.0000,-0.7955,0.2300),(-0.3400,0.9100,0.2200)
P1722: 0  (0,2.1659),(-2.0000,-0.7988,0.2300),(-0.3400,0.9100,0.2200)
P1723: 0  (0,2.1710),(-2.0000,-0.8098,0.2400),(-0.3400,0.9100,0.2200)
